date,unscheduled,forecast,confcall
1936-03-18,False,False,False
1936-03-19,False,False,False
1936-05-25,False,False,False
1936-11-19,False,False,False
1936-11-20,False,False,False
1937-01-26,False,False,False
1937-03-15,False,False,False
1937-04-04,False,False,False
1937-05-05,False,False,False
1937-06-09,False,False,False
1937-09-12,False,False,False
1937-11-01,False,False,False
1938-02-01,False,False,False
1938-04-22,False,False,False
1938-04-29,False,False,False
1938-08-02,False,False,False
1938-09-21,False,False,False
1938-12-30,False,False,False
1939-03-07,False,False,False
1939-03-20,False,False,False
1939-04-19,False,False,False
1939-06-21,False,False,False
1939-09-18,False,False,False
1939-12-13,False,False,False
1940-03-20,False,False,False
1940-05-28,False,False,False
1940-09-27,False,False,False
1940-12-18,False,False,False
1941-03-17,False,False,False
1941-06-10,False,False,False
1941-09-27,False,False,False
1941-12-12,False,False,False
1942-02-28,False,False,False
1942-03-02,False,False,False
1942-05-08,False,False,False
1942-06-22,False,False,False
1942-08-03,False,False,False
1942-09-29,False,False,False
1942-12-14,False,False,False
1943-01-26,False,False,False
1943-03-02,False,False,False
1943-05-15,False,False,False
1943-06-28,False,False,False
1943-10-18,False,False,False
1944-02-29,False,False,False
1944-03-01,False,False,False
1944-05-04,False,False,False
1944-09-22,False,False,False
1944-12-11,False,False,False
1945-02-28,False,False,False
1945-03-01,False,False,False
1945-06-20,False,False,False
1945-10-17,False,False,False
1946-02-28,False,False,False
1946-03-01,False,False,False
1946-06-10,False,False,False
1946-10-03,False,False,False
1947-02-28,False,False,False
1947-03-01,False,False,False
1947-06-06,False,False,False
1947-10-07,False,False,False
1947-12-09,False,False,False
1948-02-27,False,False,False
1948-03-01,False,False,False
1948-05-20,False,False,False
1948-10-04,False,False,False
1948-11-15,False,False,False
1948-11-30,False,False,False
1949-02-28,False,False,False
1949-03-01,False,False,False
1949-05-03,False,False,False
1949-06-28,False,False,False
1949-08-05,False,False,False
1949-12-13,False,False,False
1950-02-28,False,False,False
1950-03-01,False,False,False
1950-06-14,False,False,False
1950-08-18,False,False,False
1950-09-28,False,False,False
1950-10-11,False,False,False
1950-10-30,False,False,False
1950-11-27,False,False,False
1951-01-31,False,False,False
1951-02-08,False,False,False
1951-03-02,False,False,False
1951-03-08,False,False,False
1951-05-17,False,False,False
1951-10-04,False,False,False
1951-11-14,False,False,False
1952-02-29,False,False,False
1952-03-01,False,False,False
1952-06-19,False,False,False
1952-09-25,False,False,False
1952-12-08,False,False,False
1953-03-05,False,False,False
1953-06-11,False,False,False
1953-09-24,False,False,False
1953-12-15,False,False,False
1954-03-03,False,False,False
1954-06-23,False,False,False
1954-09-22,False,False,False
1954-12-07,False,False,False
1955-01-11,False,False,False
1955-03-02,False,False,False
1955-05-10,False,False,False
1955-06-22,False,False,False
1955-07-12,False,False,False
1955-08-02,False,False,False
1955-08-23,False,False,False
1955-09-14,False,False,False
1955-09-26,False,False,True
1955-10-04,False,False,False
1955-10-25,False,False,False
1955-11-16,False,False,False
1955-11-30,False,False,True
1955-12-08,False,False,True
1955-12-13,False,False,False
1956-01-10,False,False,False
1956-01-24,False,False,False
1956-02-15,False,False,False
1956-03-06,False,False,False
1956-03-27,False,False,False
1956-04-17,False,False,False
1956-04-18,False,False,False
1956-05-09,False,False,False
1956-05-23,False,False,False
1956-06-05,False,False,False
1956-06-26,False,False,False
1956-07-17,False,False,False
1956-08-07,False,False,False
1956-08-21,False,False,False
1956-09-11,False,False,False
1956-09-25,False,False,False
1956-10-16,False,False,False
1956-11-13,False,False,False
1956-11-27,False,False,False
1956-12-10,False,False,False
1957-01-08,False,False,False
1957-01-28,False,False,False
1957-02-18,False,False,False
1957-03-05,False,False,False
1957-03-26,False,False,False
1957-04-16,False,False,False
1957-04-24,False,False,True
1957-05-07,False,False,False
1957-05-28,False,False,False
1957-06-18,False,False,False
1957-07-09,False,False,False
1957-07-30,False,False,False
1957-08-20,False,False,False
1957-09-10,False,False,False
1957-10-01,False,False,False
1957-10-22,False,False,False
1957-11-12,False,False,False
1957-12-03,False,False,False
1957-12-17,False,False,False
1958-01-07,False,False,False
1958-01-28,False,False,False
1958-02-11,False,False,False
1958-03-04,False,False,False
1958-03-25,False,False,False
1958-04-15,False,False,False
1958-05-06,False,False,False
1958-05-27,False,False,False
1958-06-17,False,False,False
1958-07-08,False,False,False
1958-07-15,False,False,True
1958-07-18,False,False,True
1958-07-21,False,False,True
1958-07-22,False,False,True
1958-07-23,False,False,True
1958-07-24,False,False,True
1958-07-25,False,False,True
1958-07-29,False,False,False
1958-07-30,False,False,True
1958-07-31,False,False,True
1958-08-01,False,False,True
1958-08-04,False,False,True
1958-08-19,False,False,False
1958-09-09,False,False,False
1958-09-30,False,False,False
1958-10-21,False,False,False
1958-11-10,False,False,False
1958-12-02,False,False,False
1958-12-16,False,False,False
1959-01-06,False,False,False
1959-01-27,False,False,False
1959-02-10,False,False,False
1959-03-03,False,False,False
1959-03-24,False,False,False
1959-04-14,False,False,False
1959-05-05,False,False,False
1959-05-26,False,False,False
1959-06-16,False,False,False
1959-07-07,False,False,False
1959-07-28,False,False,False
1959-08-18,False,False,False
1959-09-01,False,False,False
1959-09-22,False,False,False
1959-10-13,False,False,False
1959-11-04,False,False,False
1959-11-24,False,False,False
1959-12-15,False,False,False
1960-01-12,False,False,False
1960-01-26,False,False,False
1960-02-09,False,False,False
1960-03-01,False,False,False
1960-03-22,False,False,False
1960-04-12,False,False,False
1960-05-03,False,False,False
1960-05-24,False,False,False
1960-06-14,False,False,False
1960-07-06,False,False,False
1960-07-26,False,False,False
1960-08-16,False,False,False
1960-09-13,False,False,False
1960-10-04,False,False,False
1960-10-25,False,False,False
1960-11-22,False,False,False
1960-12-13,False,False,False
1961-01-10,False,False,False
1961-01-24,False,False,False
1961-02-07,False,False,False
1961-03-07,False,False,False
1961-03-28,False,False,False
1961-04-18,False,False,False
1961-05-09,False,False,False
1961-06-06,False,False,False
1961-06-20,False,False,False
1961-07-11,False,False,False
1961-08-01,False,False,False
1961-08-22,False,False,False
1961-09-12,False,False,False
1961-10-03,False,False,False
1961-10-24,False,False,False
1961-11-14,False,False,False
1961-12-05,False,False,False
1961-12-19,False,False,False
1962-01-09,False,False,False
1962-01-23,False,False,False
1962-02-13,False,False,False
1962-03-06,False,False,False
1962-03-27,False,False,False
1962-04-17,False,False,False
1962-05-08,False,False,False
1962-05-29,False,False,False
1962-06-19,False,False,False
1962-06-21,False,False,True
1962-07-10,False,False,False
1962-07-31,False,False,False
1962-08-21,False,False,False
1962-09-11,False,False,False
1962-10-02,False,False,False
1962-10-23,False,False,False
1962-11-13,False,False,False
1962-12-04,False,False,False
1962-12-18,False,False,False
1963-01-08,False,False,False
