date,w.bcpi_BCPI_WEEKLY,w.bcne_BCPI_WEEKLY,w.ener_BCPI_WEEKLY,w.mtls_BCPI_WEEKLY,w.fopr_BCPI_WEEKLY,w.agri_BCPI_WEEKLY,w.fish_BCPI_WEEKLY,unnamed: 0_CA.-interest_rate,v39078_CA.-interest_rate,unnamed: 0_U.S.-interest_rate,v121820_U.S.-interest_rate,value_FRED_CPIAUCSL,value_FRED_DFEDTARL,value_FRED_DFEDTARU,value_FRED_DFF,value_FRED_GDPC1,value_FRED_GDPPOT,value_FRED_HSN1F,value_FRED_PAYEMS,value_FRED_PCEPILFE,value_FRED_RRSFS,value_FRED_UNRATE,fxusdcad_FXUSDCAD_rsi,rsi_FXUSDCAD_rsi,pmi_ISM_MAN_PMI,index_ISM_NONMAN_NMI,1 mo_USTREASURY_YIELD,2 mo_USTREASURY_YIELD,3 mo_USTREASURY_YIELD,6 mo_USTREASURY_YIELD,1 yr_USTREASURY_YIELD,2 yr_USTREASURY_YIELD,3 yr_USTREASURY_YIELD,5 yr_USTREASURY_YIELD,7 yr_USTREASURY_YIELD,10 yr_USTREASURY_YIELD,20 yr_USTREASURY_YIELD,30 yr_USTREASURY_YIELD
2017-01-04,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1307.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3315,-1.0,-1.0,-1.0,0.49,-1.0,0.53,0.63,0.87,1.24,1.5,1.94,2.26,2.46,2.78,3.05
2017-01-05,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1308.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3244,-1.0,-1.0,-1.0,0.51,-1.0,0.52,0.62,0.83,1.17,1.43,1.86,2.18,2.37,2.69,2.96
2017-01-06,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1309.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3214,-1.0,-1.0,-1.0,0.5,-1.0,0.53,0.61,0.85,1.22,1.5,1.92,2.23,2.42,2.73,3.0
2017-01-07,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1309.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3214,-1.0,-1.0,-1.0,0.5,-1.0,0.53,0.61,0.85,1.22,1.5,1.92,2.23,2.42,2.73,3.0
2017-01-08,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1309.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3214,-1.0,-1.0,-1.0,0.5,-1.0,0.53,0.61,0.85,1.22,1.5,1.92,2.23,2.42,2.73,3.0
2017-01-09,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1310.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.324,-1.0,-1.0,-1.0,0.5,-1.0,0.5,0.6,0.82,1.21,1.47,1.89,2.18,2.38,2.69,2.97
2017-01-10,393.77,303.21,951.91,488.66,356.42,207.02,1293.84,1311.0,0.75,261.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3213,-1.0,-1.0,-1.0,0.51,-1.0,0.52,0.6,0.82,1.19,1.47,1.89,2.18,2.38,2.69,2.97
2017-01-11,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1312.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.325,-1.0,-1.0,-1.0,0.51,-1.0,0.52,0.6,0.82,1.2,1.47,1.89,2.18,2.38,2.68,2.96
2017-01-12,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1313.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3106,-1.0,-1.0,-1.0,0.52,-1.0,0.52,0.59,0.81,1.18,1.45,1.87,2.17,2.36,2.68,3.01
2017-01-13,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1314.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3141,-1.0,-1.0,-1.0,0.52,-1.0,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-14,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1314.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3141,-1.0,-1.0,-1.0,0.52,-1.0,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-15,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1314.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3141,-1.0,-1.0,-1.0,0.52,-1.0,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-16,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1315.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3152,-1.0,-1.0,-1.0,0.52,-1.0,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-17,394.7,306.27,947.37,495.98,354.37,209.7,1329.93,1316.0,0.75,262.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3057,-1.0,-1.0,-1.0,0.52,-1.0,0.55,0.62,0.8,1.17,1.42,1.84,2.14,2.33,2.66,2.93
2017-01-18,398.66,311.46,950.36,504.73,360.56,213.36,1329.93,1317.0,0.75,263.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3099,-1.0,-1.0,-1.0,0.48,-1.0,0.53,0.63,0.82,1.23,1.51,1.93,2.24,2.42,2.74,3.0
2017-01-19,398.66,311.46,950.36,504.73,360.56,213.36,1329.93,1318.0,0.75,263.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3303,-1.0,-1.0,-1.0,0.47,-1.0,0.52,0.62,0.83,1.25,1.53,1.97,2.28,2.47,2.77,3.04
2017-01-20,398.66,311.46,950.36,504.73,360.56,213.36,1329.93,1319.0,0.75,263.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3356,-1.0,-1.0,-1.0,0.46,-1.0,0.5,0.62,0.82,1.2,1.5,1.95,2.28,2.48,2.79,3.05
2017-01-21,398.66,311.46,950.36,504.73,360.56,213.36,1329.93,1319.0,0.75,263.0,3.75,-1.0,0.5,0.75,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3356,-1.0,-1.0,-1.0,0.46,-1.0,0.5,0.62,0.82,1.2,1.5,1.95,2.28,2.48,2.79,3.05
