date,unscheduled,forecast,confcall,ChairPerson,Rate,RateDiff,RateDecision,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1982-10-05,False,False,False,Paul Volcker,9.5,-0.5,-1,1982-04-01,6830.251,0.45619851533253863,-1.0105681465743286,1982-04-01,7271.207418999999,0.7698719866819028,3.0020409145410634,1982-08-01,47.686,0.45925676245048536,6.370733883560121,1982-08-01,97.7,0.20512820512820804,5.96529284164859,1982-09-01,-10.1,-0.29999999999999893,-2.5,1982-09-01,89183.0,-180.0,-2294.0,1982-09-01,38.8,0.5,-3.700000000000003,,,,,,,,,1982-09-01,481.0,18.181818181818183,42.30769230769231,7.428053944977414,4.300007064614647,7.854998940307803,-2.571946055022586,-5.699992935385353,-2.1450010596921967,,,
1982-11-16,False,False,False,Paul Volcker,9.0,-0.5,-1,1982-07-01,6804.139,-0.382299274214082,-2.5559214328054205,1982-07-01,7327.763034999999,0.7778022650298384,3.0760791133685332,1982-09-01,47.863,0.37117812355827623,6.069940608102112,1982-10-01,98.1,0.4094165813715368,5.032119914346882,1982-10-01,-10.4,-0.3000000000000007,-2.5,1982-10-01,88907.0,-276.0,-2473.0,1982-10-01,39.4,0.6000000000000014,-0.6000000000000014,,,,,,,,,1982-10-01,480.0,-0.2079002079002079,34.831460674157306,6.397951590260101,2.690992268367035,7.671351159744944,-3.102048409739899,-6.809007731632965,-1.828648840255056,-1.0301023547173127,-1.609014796247612,-0.18364778056285935
1982-12-21,False,False,False,Paul Volcker,8.5,0.0,0,1982-07-01,6804.139,-0.382299274214082,-2.5559214328054205,1982-07-01,7327.763034999999,0.7778022650298384,3.0760791133685332,1982-10-01,48.166,0.6330568497586806,6.108871411891693,1982-11-01,98.0,-0.10193679918449983,4.477611940298511,1982-11-01,-10.8,-0.40000000000000036,-2.5,1982-11-01,88786.0,-121.0,-2385.0,1982-11-01,39.2,-0.19999999999999574,3.1000000000000014,,,,,,,,,1982-11-01,554.0,15.416666666666668,45.0261780104712,6.456347795944474,2.7493884740514076,6.812591728892288,-2.043652204055526,-5.750611525948592,-1.6874082711077119,0.05839620568437276,0.05839620568437276,-0.8587594308526558
1983-01-14,False,False,True,Paul Volcker,8.5,0.0,0,1982-07-01,6804.139,-0.382299274214082,-2.5559214328054205,1982-07-01,7327.763034999999,0.7778022650298384,3.0760791133685332,1982-11-01,48.344,0.3695552879624722,5.882868281571685,1982-12-01,97.7,-0.3061224489795889,3.825717321997884,1982-12-01,-10.8,0.0,-2.3000000000000007,1982-12-01,88771.0,-15.0,-2124.0,1982-12-01,42.8,3.5999999999999943,5.0,,,,,,,,,1982-12-01,521.0,-5.956678700361011,14.00437636761488,6.117343100464462,2.4103837785713953,6.86344243321429,-2.3826568995355384,-6.089616221428605,-1.6365575667857097,-0.33900469548001233,-0.33900469548001233,0.050850704322002116
1983-01-21,False,False,True,Paul Volcker,8.5,0.0,0,1982-07-01,6804.139,-0.382299274214082,-2.5559214328054205,1982-07-01,7327.763034999999,0.7778022650298384,3.0760791133685332,1982-11-01,48.344,0.3695552879624722,5.882868281571685,1982-12-01,97.7,-0.3061224489795889,3.825717321997884,1982-12-01,-10.8,0.0,-2.3000000000000007,1982-12-01,88771.0,-15.0,-2124.0,1982-12-01,42.8,3.5999999999999943,5.0,,,,,,,,,1982-12-01,521.0,-5.956678700361011,14.00437636761488,6.117343100464462,2.4103837785713953,6.86344243321429,-2.3826568995355384,-6.089616221428605,-1.6365575667857097,0.0,0.0,0.0
1983-01-28,False,False,True,Paul Volcker,8.5,0.0,0,1982-07-01,6804.139,-0.382299274214082,-2.5559214328054205,1982-07-01,7327.763034999999,0.7778022650298384,3.0760791133685332,1982-11-01,48.344,0.3695552879624722,5.882868281571685,1982-12-01,97.7,-0.3061224489795889,3.825717321997884,1982-12-01,-10.8,0.0,-2.3000000000000007,1982-12-01,88771.0,-15.0,-2124.0,1982-12-01,42.8,3.5999999999999943,5.0,,,,,,,,,1982-12-01,521.0,-5.956678700361011,14.00437636761488,6.117343100464462,2.4103837785713953,6.86344243321429,-2.3826568995355384,-6.089616221428605,-1.6365575667857097,0.0,0.0,0.0
1983-02-09,False,False,False,Paul Volcker,8.5,0.0,0,1982-10-01,6806.857,0.039946273878294476,-1.443156178740442,1982-10-01,7385.416065,0.7867753054326397,3.127889034518848,1982-12-01,48.498,0.318550388879688,5.830751101994494,1982-12-01,97.7,-0.3061224489795889,3.825717321997884,1983-01-01,-10.4,0.40000000000000036,-1.8000000000000007,1983-01-01,88990.0,219.0,-1575.0,1983-01-01,46.0,3.200000000000003,7.799999999999997,,,,,,,,,1983-01-01,582.0,11.708253358925145,58.152173913043484,5.667288296072229,1.5884499391527171,6.986732509127092,-2.832711703927771,-6.911550060847283,-1.5132674908729076,-0.45005480439223255,-0.8219338394186781,0.12329007591280217
1983-03-29,False,False,False,Paul Volcker,8.625,0.125,1,1982-10-01,6806.857,0.039946273878294476,-1.443156178740442,1982-10-01,7385.416065,0.7867753054326397,3.127889034518848,1983-01-01,48.83,0.6845643119303905,5.9035308406350335,1983-02-01,98.0,0.10214504596526487,3.4846884899683177,1983-02-01,-10.4,0.0,-1.5,1983-02-01,88917.0,-73.0,-1646.0,1983-02-01,54.4,8.399999999999999,16.1,,,,,,,,,1983-02-01,562.0,-3.436426116838488,53.97260273972603,5.7764579040330375,1.6976195471135256,6.970357067932971,-2.7235420959669625,-6.802380452886474,-1.5296429320670288,0.10916960796080843,0.10916960796080843,-0.016375441194121265
1983-04-29,False,False,True,Paul Volcker,8.625,0.0,0,1982-10-01,6806.857,0.039946273878294476,-1.443156178740442,1982-10-01,7385.416065,0.7867753054326397,3.127889034518848,1983-02-01,49.011,0.37067376612738995,5.887309337596684,1983-03-01,98.1,0.10204081632652481,3.590285110876443,1983-03-01,-10.3,0.09999999999999964,-1.3000000000000007,1983-03-01,89090.0,173.0,-1344.0,1983-03-01,53.9,-0.5,17.1,,,,,,,,,1983-03-01,596.0,6.049822064056939,59.35828877005348,5.752125649475515,1.6732872925560027,7.080256906116599,-2.8728743505244854,-6.951712707443997,-1.544743093883401,-0.02433225455752286,-0.02433225455752286,0.10989983818362781
1983-05-24,False,False,False,Paul Volcker,8.75,0.125,1,1983-01-01,6896.561,1.3178475763483752,1.4314555774158573,1983-01-01,7442.965381999999,0.7792291794192784,3.1502232745541994,1983-03-01,49.073,0.12650221378873644,5.56057477198417,1983-04-01,98.8,0.7135575942915422,3.9999999999999973,1983-04-01,-10.2,0.10000000000000142,-0.8999999999999986,1983-04-01,89364.0,274.0,-786.0,1983-04-01,54.2,0.30000000000000426,16.400000000000006,,,,,,,,,1983-04-01,638.0,7.046979865771812,88.20058997050147,5.528539121738923,1.7162160855015927,7.073817587174761,-3.0964608782610767,-6.908783914498407,-1.5511824128252387,-0.22358652773659138,0.04292879294558993,-0.006439318941837691
